Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name	Chromosome/scaffold name	Mouse gene stable ID	Mouse chromosome/scaffold name	Mouse chromosome/scaffold start (bp)	Mouse chromosome/scaffold end (bp)	Mouse gene name
ENSG00000210049	577	647	MT-TF	MT					
ENSG00000211459	648	1601	MT-RNR1	MT					
ENSG00000210077	1602	1670	MT-TV	MT					
ENSG00000210082	1671	3229	MT-RNR2	MT					
ENSG00000209082	3230	3304	MT-TL1	MT					
ENSG00000198888	3307	4262	MT-ND1	MT	ENSMUSG00000064341	MT	2751	3707	mt-Nd1
ENSG00000210100	4263	4331	MT-TI	MT					
ENSG00000210107	4329	4400	MT-TQ	MT					
ENSG00000210112	4402	4469	MT-TM	MT					
ENSG00000198763	4470	5511	MT-ND2	MT	ENSMUSG00000064345	MT	3914	4951	mt-Nd2
ENSG00000210117	5512	5579	MT-TW	MT					
ENSG00000210127	5587	5655	MT-TA	MT					
ENSG00000210135	5657	5729	MT-TN	MT					
ENSG00000210140	5761	5826	MT-TC	MT					
ENSG00000210144	5826	5891	MT-TY	MT					
ENSG00000198804	5904	7445	MT-CO1	MT	ENSMUSG00000064351	MT	5328	6872	mt-Co1
ENSG00000210151	7446	7514	MT-TS1	MT					
ENSG00000210154	7518	7585	MT-TD	MT					
ENSG00000198712	7586	8269	MT-CO2	MT	ENSMUSG00000064354	MT	7013	7696	mt-Co2
ENSG00000210156	8295	8364	MT-TK	MT					
ENSG00000228253	8366	8572	MT-ATP8	MT	ENSMUSG00000064356	MT	7766	7969	mt-Atp8
ENSG00000198899	8527	9207	MT-ATP6	MT	ENSMUSG00000064357	MT	7927	8607	mt-Atp6
ENSG00000198938	9207	9990	MT-CO3	MT	ENSMUSG00000064358	MT	8607	9390	mt-Co3
ENSG00000210164	9991	10058	MT-TG	MT					
ENSG00000198840	10059	10404	MT-ND3	MT	ENSMUSG00000064360	MT	9459	9806	mt-Nd3
ENSG00000210174	10405	10469	MT-TR	MT					
ENSG00000212907	10470	10766	MT-ND4L	MT	ENSMUSG00000065947	MT	9877	10173	mt-Nd4l
ENSG00000198886	10760	12137	MT-ND4	MT	ENSMUSG00000064363	MT	10167	11544	mt-Nd4
ENSG00000210176	12138	12206	MT-TH	MT					
ENSG00000210184	12207	12265	MT-TS2	MT					
ENSG00000210191	12266	12336	MT-TL2	MT					
ENSG00000198786	12337	14148	MT-ND5	MT	ENSMUSG00000064367	MT	11742	13565	mt-Nd5
ENSG00000198695	14149	14673	MT-ND6	MT	ENSMUSG00000064368	MT	13552	14070	mt-Nd6
ENSG00000210194	14674	14742	MT-TE	MT					
ENSG00000198727	14747	15887	MT-CYB	MT	ENSMUSG00000064370	MT	14145	15288	mt-Cytb
ENSG00000210195	15888	15953	MT-TT	MT					
ENSG00000210196	15956	16023	MT-TP	MT					
ENSG00000299200	44347	130844		KI270741.1					
ENSG00000308964	9471	39242		KI270741.1					
ENSG00000303867	2579	73732		KI270751.1					
ENSG00000271254	4612	29626		KI270711.1					
ENSG00000278625	51009	51114	U6	KI270744.1					
ENSG00000278704	56140	58376		GL000009.2					
ENSG00000297432	28192	48455		KI270746.1					
ENSG00000297449	36276	40556		KI270746.1					
ENSG00000299314	10052	16108		KI270746.1					
ENSG00000303902	34096	71851		KI270751.1					
ENSG00000277630	108007	139659		GL000213.1					
ENSG00000278457	380608	380726	5S_rRNA	KI270442.1					
ENSG00000278573	59711	60316		KI270734.1					
ENSG00000298469	105820	123821		KI270712.1					
ENSG00000306528	133801	139253		KI270751.1					
ENSG00000295160	183300	187489		KI270722.1					
ENSG00000296348	2027	7875		KI270722.1					
ENSG00000277400	53590	115018		GL000194.1					
ENSG00000307824	25886	38622		KI270722.1					
ENSG00000306901	1378	3207		KI270712.1					
ENSG00000278633	10598	13001		KI270731.1					
ENSG00000304745	198	80044		GL000221.1					
ENSG00000276197	105287	105376		GL000220.1					
ENSG00000297972	122831	170003		KI270719.1					
ENSG00000300519	11497	89582		KI270719.1					
ENSG00000304422	93169	106180		KI270719.1					
ENSG00000278294	217250	217401	5_8S_rRNA	KI270442.1					
ENSG00000274917	112025	112177	RNA5-8SN5	GL000220.1					
ENSG00000294644	90023	112250		KI270744.1					
ENSG00000278066	26533	27138		KI270731.1					
ENSG00000307034	384845	385228		KI270442.1					
ENSG00000296902	35394	38152		GL000009.2					
ENSG00000273730	155997	156149	5_8S_rRNA	GL000220.1					
ENSG00000274847	53594	115055	MAFIP	GL000194.1	ENSMUSG00000024175	17	25673515	25695576	Tekt4
ENSG00000277196	138082	161852		KI270734.1	ENSMUSG00000003526	16	17878221	17908067	Prodh
ENSG00000273937	149259	149348		GL000220.1					
ENSG00000308580	378910	380941		KI270442.1					
ENSG00000295378	113725	132767		KI270731.1					
ENSG00000296546	4413	7660		GL000220.1					
ENSG00000297619	5121	35307		GL000009.2					
ENSG00000298772	30694	57443		GL000194.1					
ENSG00000300051	5313	80720		KI270744.1					
ENSG00000296713	147633	148469		GL000220.1					
